doc_name,date,auteur,titre,fabula,gender,mort_auteur,canon
1957_Simenon-Georges_Maigret-s-amuse,1957,georges simenon,maigret s amuse,True,male,1989,canon
1957_Boileau-Narcejac_Les-magiciennes,1957,narcejac boileau,les magiciennes,False,male,1989,non-canon
1957_Delly_Berengere-fille-de-roi,1957,delly,berengere fille de roi,False,female,1947,non-canon
1958_San-Antonio_En-long-en-large-et-en-travers,1958,antonio san,en long en large et en travers,False,male,2000,non-canon
1958_Duras-Marguerite_Moderato-cantabile,1958,marguerite duras,moderato cantabile,True,female,1996,canon
1958_Kessel-Joseph_Le-lion,1958,joseph kessel,le lion,True,male,1979,canon
1958_San-Antonio_Tu-vas-trinquer-San-Antonio,1958,antonio san,tu vas trinquer san antonio,False,male,2000,non-canon
1958_San-Antonio_La-verite-en-salade,1958,antonio san,la verite en salade,False,male,2000,non-canon
1958_Aragon-Louis_La-semaine-sainte,1958,louis aragon,la semaine sainte,True,male,1982,canon
1958_Very-Pierre_Les-disparus-de-Saint-Agil,1958,pierre very,les disparus de saint agil,True,male,1960,canon
1958_Delly_Lysis,1958,delly,lysis,False,female,1947,non-canon
1958_Simenon-Georges_Les-scrupules-de-Maigret,1958,georges simenon,les scrupules de maigret,True,male,1989,canon
1958_San-Antonio_Le-secret-de-polichinelle,1958,antonio san,le secret de polichinelle,False,male,2000,non-canon
1958_San-Antonio_Du-poulet-au-menu,1958,antonio san,du poulet au menu,False,male,2000,non-canon
1958_Beauvoir-Simone-de_Memoires-d-une-jeune-fille-rangee,1958,simone de beauvoir,memoires d une jeune fille rangee,True,female,1986,canon
1958_Pagnol-Marcel_Le-Chateau-de-ma-mere,1958,marcel pagnol,le chateau de ma mere,False,male,1974,non-canon
1959_Troyat-Henri_Les-compagnons-du-coquelicot,1959,henri troyat,les compagnons du coquelicot,False,male,2007,non-canon
1959_Simenon-Georges_Une-confidence-de-Maigret,1959,georges simenon,une confidence de maigret,True,male,1989,canon
1959_San-Antonio_San-Antonio-met-le-paquet,1959,antonio san,san antonio met le paquet,False,male,2000,non-canon
1959_Delly_L'illusion-orgueilleuse-suivi-de-La-voie-divine,1959,delly,l'illusion orgueilleuse suivi de la voie divine,False,female,1947,non-canon
1959_Veuzit-Max-du_La-belle-etrangere,1959,max du veuzit,la belle etrangere,False,female,1952,non-canon
1959_San-Antonio_Tout-le-plaisir-est-pour-moi,1959,antonio san,tout le plaisir est pour moi,False,male,2000,non-canon
1959_San-Antonio_Prenez-en-de-la-graine,1959,antonio san,prenez en de la graine,False,male,2000,non-canon
1959_Simenon-Georges_Maigret-et-les-temoins-recalcitrants,1959,georges simenon,maigret et les temoins recalcitrants,True,male,1989,canon
